"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",
Country Name,Country Code,Indicator Name,Indicator Code,1960,1980,2000,2020,
North Macedonia,MKD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.02,53.469,58.548,58.482,
Mali,MLI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,11.066,18.484,28.356,43.909,
Malta,MLT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.129,89.785,92.368,94.744,
Myanmar,MMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.226,23.973,27.025,31.141,
Middle East & North Africa (excluding high income),MNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.8339407788387,47.0014868248253,55.4468289053457,62.2098285066013,
Montenegro,MNE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.788,36.813,58.544,67.488,
Mongolia,MNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.679,52.083,57.133,68.657,
Northern Mariana Islands,MNP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.219,86.784,90.152,91.798,
Mozambique,MOZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,6.868,13.158,29.098,37.074,
Mauritania,MRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,6.88,27.371,38.091,55.327,
Mauritius,MUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.111,42.351,42.67,40.76,
Malawi,MWI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,4.39,9.05,14.61,17.427,
Malaysia,MYS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.598,42.044,61.977,77.16,
North America,NAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.9184025592192,73.9311267000191,79.102424122048,82.5530665548055,
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.909,25.066,32.373,52.033,
New Caledonia,NCL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.36,57.426,61.919,71.518,
Niger,NER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,5.793,13.443,16.186,16.626,
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,15.41,21.97,34.84,51.958,
Nicaragua,NIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.581,50.292,55.185,59.012,
Netherlands,NLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.752,64.745,76.795,92.236,
Norway,NOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.92,70.545,76.02,82.974,
Nepal,NPL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,3.48,6.091,13.397,20.576,
Nauru,NRU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100.0,100.0,100.0,100.0,
New Zealand,NZL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.998,83.428,86.021,86.699,
